date,smp,load,pv
2018-04-01 0:00,90.2,15.007,0
2018-04-01 1:00,90.58,13.386,0
2018-04-01 2:00,89.75,12.35,0
2018-04-01 3:00,85.35,12.246,0
2018-04-01 4:00,85.6,12.048,0
2018-04-01 5:00,87.47,12.618,0
2018-04-01 6:00,87.47,12.99,0
2018-04-01 7:00,87.32,13.659,0.699
2018-04-01 8:00,87.22,13.439,7.81
2018-04-01 9:00,86.59,13.325,24.322
2018-04-01 10:00,85.34,13.308,40.641
2018-04-01 11:00,85.34,14.078,41.774
2018-04-01 12:00,85.17,13.457,18.682
2018-04-01 13:00,85.17,14.237,17.356
2018-04-01 14:00,85.17,13.863,32.952
2018-04-01 15:00,85.56,13.386,38.906
2018-04-01 16:00,86.24,12.76905,12.752
2018-04-01 17:00,86.9,12.1521,2.676
2018-04-01 18:00,87.64,17.193,0
2018-04-01 19:00,87.64,18.635,0
2018-04-01 20:00,87.65,19.824,0
2018-04-01 21:00,87.79,18.82,0
2018-04-01 22:00,87.84,18.429,0
2018-04-01 23:00,87.94,17.835,0
2018-04-02 0:00,87.33,15.378,0
2018-04-02 1:00,85.28,13.938,0
2018-04-02 2:00,81.63,12.963,0
2018-04-02 3:00,81.88,12.31,0
2018-04-02 4:00,84.39,12.419,0
2018-04-02 5:00,86.96,12.413,0
2018-04-02 6:00,87.53,13.729,0
2018-04-02 7:00,90.39,14.99,4.459
2018-04-02 8:00,94.64,14.052,12.535
2018-04-02 9:00,95.01,12.373,26.154
2018-04-02 10:00,94.71,12.431,35.724
2018-04-02 11:00,92.39,11.227,77.691
2018-04-02 12:00,88.3,11.129,136.58
2018-04-02 13:00,90.64,10.168,116.645
2018-04-02 14:00,90.64,9.988,108.377
2018-04-02 15:00,91.73,10.529,100.808
2018-04-02 16:00,92.26,10.743,52.14
2018-04-02 17:00,92.26,12.701,20.128
2018-04-02 18:00,92.47,14.33,2.989
2018-04-02 19:00,92.47,18.212,0
2018-04-02 20:00,91.91,19.033,0
2018-04-02 21:00,89.1,18.957,0
2018-04-02 22:00,88.32,17.704,0
2018-04-02 23:00,88.32,15.89,0
2018-04-03 0:00,87.67,14.255,0
2018-04-03 1:00,87.1,12.954,0
2018-04-03 2:00,86.66,12.376,0
2018-04-03 3:00,86.75,12.015,0
2018-04-03 4:00,86.75,12.003,0
2018-04-03 5:00,88.72,13.536,0
2018-04-03 6:00,88.72,13.623,0
2018-04-03 7:00,92.35,14.881,0
2018-04-03 8:00,94.94,14.275,0.41
2018-04-03 9:00,94.94,12.715,4.387
2018-04-03 10:00,93.42,11.535,30.3
2018-04-03 11:00,92.41,10.718,29.818
2018-04-03 12:00,88.11,11.084,63.686
